user_id_sender,user_id_receiver,date,action
ad4943sdz,948ksx123d,2020-01-04 00:00:00,sent
ad4943sdz,948ksx123d,2020-01-06 00:00:00,accepted
dfdfxf9483,9djjjd9283,2020-01-04 00:00:00,sent
dfdfxf9483,9djjjd9283,2020-01-15 00:00:00,accepted
ffdfff4234234,lpjzjdi4949,2020-01-06 00:00:00,sent
fffkfld9499,993lsldidif,2020-01-06 00:00:00,sent
fffkfld9499,993lsldidif,2020-01-10 00:00:00,accepted
fg503kdsdd,ofp049dkd,2020-01-04 00:00:00,sent
fg503kdsdd,ofp049dkd,2020-01-10 00:00:00,accepted
hh643dfert,847jfkf203,2020-01-04 00:00:00,sent
r4gfgf2344,234ddr4545,2020-01-06 00:00:00,sent
r4gfgf2344,234ddr4545,2020-01-11 00:00:00,accepted
